method,auroc,auprc,rmse_duration,coverage_95,fold,error_message
glm_em,0.6466999232540291,0.005159920842290222,924.8129140404094,NA,1,NA
bayes_mcmc,0.6471220260936301,0.005217739231455076,NA,NA,1,NA
glm_em,0.9099296706357496,0.17759057267772774,238.40459638347016,NA,2,NA
bayes_mcmc,0.9045679270245804,0.17768645109865117,NA,NA,2,NA
glm_em,0.5180256792125276,0.0569351585944463,236.84480764457243,NA,3,NA
bayes_mcmc,0.5149442912073224,0.06462517863750974,NA,NA,3,NA
glm_em,NA,NA,NA,NA,4,NA
bayes_mcmc,NA,NA,NA,NA,4,NA
glm_em,0.6545371098872279,0.0019200748574815796,17.244594448872345,NA,5,NA
bayes_mcmc,0.6597167584579071,0.0021841276097601114,NA,NA,5,NA
